ACC Origin
NZ_CP012959.1 1246362
NZ_CP012968.1 120052
NZ_CP013034.1 1170163
NZ_CP012999.1 4733719
NZ_CP012938.1 3349676
NZ_CP013114.1 255407
NZ_CP013046.1 406442
NZ_CP013121.1 2081078
NZ_CP013067.1 64713
NZ_CP013131.1 2248352
NZ_CP013124.1 1
NZ_CP013130.1 3139228
NZ_CP013126.1 1144674
NZ_CP013216.1 1469
NZ_CP013237.1 1590769
NZ_CP013195.1 2505914
NZ_CP013183.1 5918316
NZ_CP013254.1 1167706
NZ_CP013293.1 5046
NZ_CP013334.1 2068526
NZ_CP013610.1 1874730
NZ_CP013336.1 299728
NZ_CP013338.1 5456810
NZ_CP013651.1 25479
NZ_CP013688.1 1942581
NZ_CP013689.1 3549
NZ_CP013733.1 40906
NZ_CP013828.1 3554361
NZ_CP013911.1 1
NZ_CP013921.1 2384489
NZ_CP013861.1 5100483
NZ_CP013940.1 4111173
NZ_CP013950.1 2245107
NZ_CP013913.1 668803
NZ_CP013997.1 4694112
NZ_CP013990.1 4154
NZ_CP013987.1 549179
NZ_CP013331.1 477076
NZ_CP014016.1 2010405
NZ_CP014015.1 1837592
NZ_CP014007.1 5271978
NZ_CP014017.1 2642951
NZ_CP014023.1 1977594
NZ_CP014024.1 3055318
NZ_CP014026.1 3092841
NZ_CP014022.1 1428065
NZ_CP014029.1 2851264
NZ_CP014030.1 302488
NZ_CP014057.1 11101
NZ_CP014031.1 1781512
NZ_CP014067.1 1764319
NZ_CP014113.1 493590
NZ_CP014070.1 610927
NZ_CP014099.1 3636856
NZ_CP014129.1 191483
NZ_CP014144.1 2016983
NZ_CP014170.1 659940
NZ_CP014205.1 1410029
NZ_CP014207.1 900438
NZ_CP014158.1 6809053
NZ_CP014229.1 165834
NZ_CP014241.1 556860
NZ_CP014264.1 67760
NZ_CP014233.1 1445438
NZ_CP014232.1 1515994
NZ_CP014326.1 18694
NZ_CP014352.1 2218837
NZ_CP014274.1 1847963
NZ_CP014610.1 1985960
NZ_CP014474.1 606600
NZ_CP014546.1 1512638
NZ_CP014696.1 883200
NZ_CP014608.1 4538182
NZ_CP014748.1 2180247
NZ_CP014643.1 657075
NZ_CP014768.1 36190
NZ_CP014774.1 2775977
NZ_CP014786.1 1162040
NZ_CP014784.1 434591
NZ_CP014781.1 1
NZ_CP014835.1 1544473
NZ_CP014787.1 1907039
NZ_CP014861.1 78567
NZ_CP014856.1 737829
NZ_CP014870.1 6762734
NZ_CP014867.1 2956223
NZ_CP014947.1 601830
NZ_CP014949.1 1894552
NZ_CP015099.1 1133311
NZ_CP015114.1 1554171
NZ_CP015224.1 3839524
NZ_CP015137.1 2091219
NZ_CP015227.1 1484890
NZ_CP015226.1 4993375
NZ_CP015347.1 4043581
NZ_CP015398.1 272764
NZ_CP015379.1 1536159
NZ_CP015426.1 106796
NZ_CP015424.1 1351294
NZ_CP015427.1 37512
NZ_CP015425.1 851647
NZ_CP015428.1 1006543
NZ_CP015429.1 1250267
NZ_CP015430.1 1107419
NZ_CP015576.1 1632548
NZ_CP015575.1 148383
NZ_CP015516.1 2885974
NZ_CP015577.1 103107
NZ_CP015506.1 15063
NZ_CP015614.1 413757
NZ_CP015600.1 1
NZ_CP015774.1 47119
NZ_CP015878.1 7144317
NZ_CP016015.1 204375
NZ_CP015852.1 1
NZ_CP016028.1 1797560
NZ_CP015910.1 1656085
NZ_CP016016.1 288459
NZ_FO704551.1 30101
NZ_HF545616.1 168613
NZ_FO818637.1 30847
NZ_FO704550.1 52454
NZ_FO818638.1 ti|40576|gi|810411065|ref|NZ_FO818638.1|
NZ_HG004426.1 1926713
NZ_HG322950.1 6026429
NZ_HG326223.1 4402177
NZ_HF545617.1 341570
NZ_HG917868.1 13137
NZ_HG917869.1 ti|1216932|gi|763161170|ref|NZ_HG917869.1|
NZ_HG813242.1 2489276
NZ_HG916826.1 4685448
